INFO    | MainThread| SLAHelper| set_sla_lock ] --> SLA sate is locked? R: True
INFO    | T_lc1   | DistInfra| get_hosts_density ] --> AZ AZ5 has 0.0% hosts actives
INFO    | T_AZ4   | Physical| force_set_host_on ] --> NEW state: NODE1 turned on? True
INFO    | T_lc1   | DistInfra| get_hosts_density ] --> AZ AZ6 has 0.0% hosts actives
INFO    | T_AZ4   | Chave   | avg_energy_h ] --> Media da ultima HORA: 172.52 WH at 0 h (0 s)
DEBUG   | T_lc1   | Chave   | choose_az_for_vm_replica ] --> AZ selection algorithm LB fails, place VM i-261C3FE2 (from AZ4) randomized in ['node:', 31, 'core:', 32, 'av:', 0.999, 'id:', 'AZ5', 'ram:', 128, 'alg:', 'CHAVE']
INFO    | T_AZ4   | Chave   | az_optimized_placement ] --> New max host on: 2 at 0 sec
INFO    | T_lc1   | Chave   | choose_az_for_vm_replica ] --> VM i-261C3FE2 (from AZ4) will be replicated for AZ5
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 0 from START sec is 329.6 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-8C814313-regular (vcpu:4) is NODE1 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE1 defined for i-8C814313 t:regular, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-8C814313 in NODE1 regular AZ4
INFO    | T_AZ4   | Chave   | avg_energy_h ] --> Media da ultima HORA: 329.6 WH at 0 h (0 s)
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 0 from START sec is 345.04 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-ABEE41D5-critical (vcpu:4) is NODE2 (cpu:8.0). ovbCount:0, tax:0 hasOvb? False.
INFO    | T_AZ4   | Chave   | require_replica ] --> i-ABEE41D5-critical require replication! AZ4=?AZ4
INFO    | T_AZ4   | Chave   | replicate_vm ] --> Pool lc1_AZ4_i-ABEE41D5 created for replication
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE2 defined for i-ABEE41D5 t:critical, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-ABEE41D5 in NODE2 critical AZ4
INFO    | T_AZ4   | Physical| force_set_host_on ] --> NEW state: NODE2 turned on? True
INFO    | T_AZ4   | Chave   | avg_energy_h ] --> Media da ultima HORA: 345.04 WH at 0 h (0 s)
INFO    | T_AZ4   | Chave   | az_optimized_placement ] --> New max host on: 3 at 0 sec
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 0 from START sec is 502.12 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-C10A3ED2-regular (vcpu:4) is NODE2 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE2 defined for i-C10A3ED2 t:regular, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-C10A3ED2 in NODE2 regular AZ4
INFO    | T_AZ4   | Chave   | avg_energy_h ] --> Media da ultima HORA: 502.12 WH at 0 h (0 s)
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 0 from START sec is 517.56 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-C11E42E0-regular (vcpu:4) is NODE3 (cpu:8.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE3 defined for i-C11E42E0 t:regular, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-C11E42E0 in NODE3 regular AZ4
INFO    | T_AZ4   | Physical| force_set_host_on ] --> NEW state: NODE3 turned on? True
INFO    | T_AZ4   | Chave   | avg_energy_h ] --> Media da ultima HORA: 517.56 WH at 0 h (0 s)
INFO    | T_AZ4   | Chave   | az_optimized_placement ] --> New max host on: 4 at 0 sec
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 0 from START sec is 674.64 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-D1594203-regular (vcpu:4) is NODE3 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE3 defined for i-D1594203 t:regular, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-D1594203 in NODE3 regular AZ4
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 120 from START sec is 690.08 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-E6EE3FCB-regular (vcpu:4) is NODE4 (cpu:8.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE4 defined for i-E6EE3FCB t:regular, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-E6EE3FCB in NODE4 regular AZ4
INFO    | T_AZ4   | Physical| force_set_host_on ] --> NEW state: NODE4 turned on? True
INFO    | T_AZ4   | Chave   | az_optimized_placement ] --> New max host on: 5 at 0 sec
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 180 from START sec is 847.16 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-2BFF3F02-regular (vcpu:1) is NODE4 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE4 defined for i-2BFF3F02 t:regular, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-2BFF3F02 in NODE4 regular AZ4
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 300 from START sec is 851.66 WH
INFO    | T_lc1   | Chave   | best_host ] --> Best host for i-261C3FE2-replica (vcpu:4) is NODE0 (cpu:32.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_lc1   | Virtual | set_host_id ] --> Host id NODE0 defined for i-261C3FE2 t:replica, az:AZ4
INFO    | T_lc1   | Chave   | place    ] --> Allocating i-261C3FE2 in NODE0 replica AZ5
INFO    | T_lc1   | Physical| force_set_host_on ] --> NEW state: NODE0 turned on? True
INFO    | T_lc1   | Chave   | region_replication ] --> Allocating REPLICA i-261C3FE2 on AZ5
INFO    | T_AZ2   | Chave   | best_host ] --> Best host for i-XX11094D-regular (vcpu:4) is NODE0 (cpu:12.0). ovbCount:0, tax:0 hasOvb? False.
INFO    | T_lc1   | DistInfra| get_hosts_density ] --> AZ AZ5 has 3.22580645161% hosts actives
DEBUG   | T_AZ2   | Virtual | set_host_id ] --> Host id NODE0 defined for i-XX11094D t:regular, az:AZ2
INFO    | T_lc1   | DistInfra| get_hosts_density ] --> AZ AZ6 has 0.0% hosts actives
INFO    | MainThread| __init__| output_stream ] --> Saving results in ['JSON', 'MEM', 'CSV', 'SQLITE']
INFO    | T_AZ2   | Chave   | place    ] --> Allocating i-XX11094D in NODE0 regular AZ2
INFO    | T_lc1   | Chave   | choose_az_for_vm_replica ] --> VM i-ABEE41D5 (from AZ4) will be replicated for AZ5
INFO    | MainThread| __init__| output_stream ] --> AZ1
INFO    | T_AZ2   | Physical| force_set_host_on ] --> NEW state: NODE0 turned on? True
INFO    | MainThread| __init__| output_stream ] --> AZ2
INFO    | T_AZ2   | Chave   | az_optimized_placement ] --> New max host on: 1 at 10 sec
INFO    | MainThread| __init__| output_stream ] --> AZ3
DEBUG   | T_AZ2   | Chave   | measure_energy ] --> Energy at 660 from START sec is 157.08 WH
INFO    | T_AZ2   | Physical| set_host_off ] --> NEW state in AZ2: NODE0 turned on? False
INFO    | MainThread| __init__| output_stream ] --> AZ4
INFO    | T_AZ4   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-2BFF3F02 NODE4 from AZ4 None typ: regular
INFO    | T_AZ2   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-XX11094D NODE0 from AZ2 None typ: regular
DEBUG   | T_AZ2   | Chave   | measure_energy ] --> Energy at 780 from DEFAULT sec is 0 WH
INFO    | T_AZ3   | Chave   | best_host ] --> Best host for i-DE9842F4-regular (vcpu:1) is NODE0 (cpu:8.0). ovbCount:0, tax:0 hasOvb? False.
INFO    | MainThread| __init__| output_stream ] --> AZ5
INFO    | MainThread| __init__| output_stream ] --> AZ6
DEBUG   | T_AZ3   | Virtual | set_host_id ] --> Host id NODE0 defined for i-DE9842F4 t:regular, az:AZ3
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 780 from DEFAULT sec is 847.16 WH
INFO    | MainThread| __init__| output_stream ] --> global
INFO    | T_AZ3   | Chave   | place    ] --> Allocating i-DE9842F4 in NODE0 regular AZ3
INFO    | T_AZ3   | Physical| force_set_host_on ] --> NEW state: NODE0 turned on? True
INFO    | T_AZ3   | Chave   | az_optimized_placement ] --> New max host on: 1 at 1 sec
DEBUG   | T_AZ3   | Chave   | measure_energy ] --> Energy at 900 from START sec is 139.91 WH
INFO    | T_lc1   | Chave   | best_host ] --> Best host for i-ABEE41D5-replica (vcpu:4) is NODE0 (cpu:28.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_lc1   | Virtual | set_host_id ] --> Host id NODE0 defined for i-ABEE41D5 t:replica, az:AZ4
INFO    | T_lc1   | Chave   | place    ] --> Allocating i-ABEE41D5 in NODE0 replica AZ5
INFO    | T_lc1   | Chave   | region_replication ] --> Allocating REPLICA i-ABEE41D5 on AZ5
INFO    | T_AZ5   | Chave   | best_host ] --> Best host for i-ADC2465C-critical (vcpu:2) is NODE0 (cpu:24.0). ovbCount:0, tax:0 hasOvb? False.
INFO    | T_AZ5   | Chave   | require_replica ] --> i-ADC2465C-critical require replication! AZ5=?AZ5
INFO    | T_AZ5   | Chave   | replicate_vm ] --> Pool lc1_AZ5_i-ADC2465C created for replication
DEBUG   | T_AZ5   | Virtual | set_host_id ] --> Host id NODE0 defined for i-ADC2465C t:critical, az:AZ5
INFO    | T_lc1   | DistInfra| get_hosts_density ] --> AZ AZ4 has 41.6666666667% hosts actives
INFO    | T_AZ5   | Chave   | place    ] --> Allocating i-ADC2465C in NODE0 critical AZ5
INFO    | T_lc1   | DistInfra| get_hosts_density ] --> AZ AZ6 has 0.0% hosts actives
INFO    | T_AZ5   | Chave   | az_optimized_placement ] --> New max host on: 1 at 783 sec
INFO    | T_lc1   | Chave   | choose_az_for_vm_replica ] --> VM i-ADC2465C (from AZ5) will be replicated for AZ4
DEBUG   | T_AZ5   | Chave   | measure_energy ] --> Energy at 1026 from START sec is 178.66 WH
INFO    | T_AZ6   | Chave   | best_host ] --> Best host for i-41C93F29-regular (vcpu:2) is NODE0 (cpu:32.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ6   | Virtual | set_host_id ] --> Host id NODE0 defined for i-41C93F29 t:regular, az:AZ6
INFO    | T_AZ6   | Chave   | place    ] --> Allocating i-41C93F29 in NODE0 regular AZ6
INFO    | T_AZ6   | Physical| force_set_host_on ] --> NEW state: NODE0 turned on? True
INFO    | T_AZ6   | Chave   | az_optimized_placement ] --> New max host on: 1 at 1091 sec
DEBUG   | T_AZ6   | Chave   | measure_energy ] --> Energy at 1260 from START sec is 147.1 WH
INFO    | T_lc1   | Chave   | best_host ] --> Best host for i-ADC2465C-replica (vcpu:2) is NODE4 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_lc1   | Virtual | set_host_id ] --> Host id NODE4 defined for i-ADC2465C t:replica, az:AZ5
INFO    | T_lc1   | Chave   | place    ] --> Allocating i-ADC2465C in NODE4 replica AZ4
INFO    | T_lc1   | Chave   | region_replication ] --> Allocating REPLICA i-ADC2465C on AZ4
INFO    | T_AZ1   | Chave   | best_host ] --> Best host for i-796244E3-regular (vcpu:1) is NODE0 (cpu:22.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ1   | Virtual | set_host_id ] --> Host id NODE0 defined for i-796244E3 t:regular, az:AZ1
INFO    | T_AZ1   | Chave   | place    ] --> Allocating i-796244E3 in NODE0 regular AZ1
DEBUG   | T_AZ1   | Chave   | measure_energy ] --> Energy at 1380 from START sec is 153.2 WH
INFO    | T_AZ2   | Chave   | best_host ] --> Best host for i-4811094D-regular (vcpu:1) is NODE0 (cpu:12.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ2   | Virtual | set_host_id ] --> Host id NODE0 defined for i-4811094D t:regular, az:AZ2
INFO    | T_AZ2   | Chave   | place    ] --> Allocating i-4811094D in NODE0 regular AZ2
INFO    | T_AZ2   | Physical| force_set_host_on ] --> NEW state: NODE0 turned on? True
DEBUG   | T_AZ2   | Chave   | measure_energy ] --> Energy at 1380 from START sec is 139.91 WH
INFO    | T_AZ2   | Physical| set_host_off ] --> NEW state in AZ2: NODE0 turned on? False
INFO    | T_AZ2   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-4811094D NODE0 from AZ2 None typ: regular
DEBUG   | T_AZ2   | Chave   | measure_energy ] --> Energy at 1440 from DEFAULT sec is 0 WH
INFO    | T_AZ5   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-ADC2465C NODE0 from AZ5 lc1_AZ5_i-ADC2465C typ: critical
INFO    | T_AZ1   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-796244E3 NODE0 from AZ1 None typ: regular
DEBUG   | T_AZ5   | Chave   | measure_energy ] --> Energy at 1500 from DEFAULT sec is 172.52 WH
DEBUG   | T_AZ1   | Chave   | measure_energy ] --> Energy at 1500 from DEFAULT sec is 147.1 WH
INFO    | T_AZ5   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-ADC2465C NODE4 from AZ4 lc1_AZ5_i-ADC2465C typ: replica
DEBUG   | T_AZ5   | Chave   | measure_energy ] --> Energy at 1560 from replica sec is 847.16 WH
INFO    | T_AZ6   | Physical| set_host_off ] --> NEW state in AZ6: NODE0 turned on? False
INFO    | T_AZ6   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-41C93F29 NODE0 from AZ6 None typ: regular
DEBUG   | T_AZ6   | Chave   | measure_energy ] --> Energy at 1680 from DEFAULT sec is 0 WH
INFO    | T_AZ5   | Chave   | best_host ] --> Best host for i-AEA14226-regular (vcpu:4) is NODE0 (cpu:24.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ5   | Virtual | set_host_id ] --> Host id NODE0 defined for i-AEA14226 t:regular, az:AZ5
INFO    | T_AZ5   | Chave   | place    ] --> Allocating i-AEA14226 in NODE0 regular AZ5
DEBUG   | T_AZ5   | Chave   | measure_energy ] --> Energy at 1740 from START sec is 184.79 WH
INFO    | T_AZ5   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-AEA14226 NODE0 from AZ5 None typ: regular
DEBUG   | T_AZ5   | Chave   | measure_energy ] --> Energy at 2280 from DEFAULT sec is 172.52 WH
INFO    | T_AZ2   | Chave   | best_host ] --> Best host for i-49F207B6-regular (vcpu:1) is NODE0 (cpu:12.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ2   | Virtual | set_host_id ] --> Host id NODE0 defined for i-49F207B6 t:regular, az:AZ2
INFO    | T_AZ2   | Chave   | place    ] --> Allocating i-49F207B6 in NODE0 regular AZ2
INFO    | T_AZ2   | Physical| force_set_host_on ] --> NEW state: NODE0 turned on? True
DEBUG   | T_AZ2   | Chave   | measure_energy ] --> Energy at 2460 from START sec is 139.91 WH
INFO    | T_AZ5   | Chave   | best_host ] --> Best host for i-BE563F1A-regular (vcpu:2) is NODE0 (cpu:24.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ5   | Virtual | set_host_id ] --> Host id NODE0 defined for i-BE563F1A t:regular, az:AZ5
INFO    | T_AZ5   | Chave   | place    ] --> Allocating i-BE563F1A in NODE0 regular AZ5
DEBUG   | T_AZ5   | Chave   | measure_energy ] --> Energy at 2640 from START sec is 178.66 WH
INFO    | MainThread| __init__| output_stream ] --> Saved in /home/daniel/Dropbox/UDESC/Mestrado/Pratico/CHAVE-Sim/logs/18.05.06_23.30.25_CHAVE_PlacementFirst_FFD2I_1_20_False.log
INFO    | T_AZ6   | Chave   | best_host ] --> Best host for i-8BAF4413-regular (vcpu:2) is NODE0 (cpu:32.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ6   | Virtual | set_host_id ] --> Host id NODE0 defined for i-8BAF4413 t:regular, az:AZ6
INFO    | T_AZ6   | Chave   | place    ] --> Allocating i-8BAF4413 in NODE0 regular AZ6
INFO    | T_AZ6   | Physical| force_set_host_on ] --> NEW state: NODE0 turned on? True
DEBUG   | T_AZ6   | Chave   | measure_energy ] --> Energy at 3000 from START sec is 147.1 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-1D5646FD-regular (vcpu:4) is NODE4 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE4 defined for i-1D5646FD t:regular, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-1D5646FD in NODE4 regular AZ4
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 3000 from START sec is 862.6 WH
INFO    | T_AZ1   | Chave   | best_host ] --> Best host for i-B9184208-critical (vcpu:1) is NODE0 (cpu:22.0). ovbCount:0, tax:0 hasOvb? False.
INFO    | T_AZ1   | Chave   | require_replica ] --> i-B9184208-critical require replication! AZ1=?AZ1
INFO    | T_AZ1   | Chave   | replicate_vm ] --> Pool lc0_AZ1_i-B9184208 created for replication
DEBUG   | T_AZ1   | Virtual | set_host_id ] --> Host id NODE0 defined for i-B9184208 t:critical, az:AZ1
INFO    | T_AZ1   | Chave   | place    ] --> Allocating i-B9184208 in NODE0 critical AZ1
DEBUG   | T_AZ1   | Chave   | measure_energy ] --> Energy at 3060 from START sec is 153.2 WH
INFO    | T_lc0   | DistInfra| get_hosts_density ] --> AZ AZ2 has 14.2857142857% hosts actives
INFO    | T_lc0   | DistInfra| get_hosts_density ] --> AZ AZ3 has 14.2857142857% hosts actives
INFO    | T_lc0   | Chave   | choose_az_for_vm_replica ] --> VM i-B9184208 (from AZ1) will be replicated for AZ2
INFO    | T_lc0   | Chave   | best_host ] --> Best host for i-B9184208-replica (vcpu:1) is NODE0 (cpu:11.0). ovbCount:0, tax:0 hasOvb? False.
INFO    | T_AZ4   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-153C3F8D NODE0 from AZ4 None typ: regular
DEBUG   | T_lc0   | Virtual | set_host_id ] --> Host id NODE0 defined for i-B9184208 t:replica, az:AZ1
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 3120 from DEFAULT sec is 847.16 WH
INFO    | T_lc0   | Chave   | place    ] --> Allocating i-B9184208 in NODE0 replica AZ2
INFO    | T_lc0   | Chave   | region_replication ] --> Allocating REPLICA i-B9184208 on AZ2
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-E0A63BDD-regular (vcpu:4) is NODE0 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE0 defined for i-E0A63BDD t:regular, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-E0A63BDD in NODE0 regular AZ4
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 3180 from START sec is 862.6 WH
INFO    | T_AZ1   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-B9184208 NODE0 from AZ1 lc0_AZ1_i-B9184208 typ: critical
DEBUG   | T_AZ1   | Chave   | measure_energy ] --> Energy at 3240 from DEFAULT sec is 147.1 WH
INFO    | T_AZ1   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-B9184208 NODE0 from AZ2 lc0_AZ1_i-B9184208 typ: replica
DEBUG   | T_AZ1   | Chave   | measure_energy ] --> Energy at 3240 from replica sec is 139.91 WH
INFO    | T_AZ2   | Chave   | best_host ] --> Best host for i-310005BF-regular (vcpu:1) is NODE0 (cpu:11.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ2   | Virtual | set_host_id ] --> Host id NODE0 defined for i-310005BF t:regular, az:AZ2
INFO    | T_AZ4   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-1D5646FD NODE4 from AZ4 None typ: regular
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 3315 from DEFAULT sec is 847.16 WH
INFO    | T_AZ2   | Chave   | place    ] --> Allocating i-310005BF in NODE0 regular AZ2
DEBUG   | T_AZ2   | Chave   | measure_energy ] --> Energy at 3360 from START sec is 147.1 WH
INFO    | T_AZ5   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-BE563F1A NODE0 from AZ5 None typ: regular
DEBUG   | T_AZ5   | Chave   | measure_energy ] --> Energy at 3360 from DEFAULT sec is 172.52 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-74F842C4-regular (vcpu:4) is NODE4 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE4 defined for i-74F842C4 t:regular, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-74F842C4 in NODE4 regular AZ4
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 3360 from START sec is 862.6 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-53FF4310-regular (vcpu:4) is NODE5 (cpu:8.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE5 defined for i-53FF4310 t:regular, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-53FF4310 in NODE5 regular AZ4
INFO    | T_AZ4   | Physical| force_set_host_on ] --> NEW state: NODE5 turned on? True
INFO    | T_AZ4   | Chave   | az_optimized_placement ] --> New max host on: 6 at 3319 sec
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 3360 from START sec is 1019.68 WH
INFO    | T_AZ6   | Physical| set_host_off ] --> NEW state in AZ6: NODE0 turned on? False
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-956A3CDB-regular (vcpu:4) is NODE5 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
INFO    | T_AZ6   | DistInfra| deallocate_on_host ] --> Deallocated SUCESS! i-8BAF4413 NODE0 from AZ6 None typ: regular
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE5 defined for i-956A3CDB t:regular, az:AZ4
DEBUG   | T_AZ6   | Chave   | measure_energy ] --> Energy at 3420 from DEFAULT sec is 0 WH
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-956A3CDB in NODE5 regular AZ4
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 3540 from START sec is 1035.12 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-B3B2408C-regular (vcpu:4) is NODE6 (cpu:8.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_AZ4   | Virtual | set_host_id ] --> Host id NODE6 defined for i-B3B2408C t:regular, az:AZ4
INFO    | T_AZ4   | Chave   | place    ] --> Allocating i-B3B2408C in NODE6 regular AZ4
INFO    | T_AZ4   | Physical| force_set_host_on ] --> NEW state: NODE6 turned on? True
INFO    | T_AZ4   | Chave   | az_optimized_placement ] --> New max host on: 7 at 3319 sec
DEBUG   | T_AZ4   | Chave   | measure_energy ] --> Energy at 3600 from START sec is 1192.2 WH
INFO    | T_AZ4   | Chave   | best_host ] --> Best host for i-F0834357-regular (vcpu:4) is NODE6 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
DEBUG   | T_gvt   | Chave   | gvt      ] --> GVT s:3600, h:1
